"predicted_target","zn","chas","nox","rm","ptratio","medv","age_log","dis_log","lstat_log","indus_log","tax_log","rad_log"
"0",0,0,0.469,7.185,17.8,34.7,4.12874598893943,1.78626104723981,1.61541998411165,2.08815348228186,5.49306144334055,1.09861228866811
"1",0,0,0.538,6.096,21,18.2,4.44851637594271,1.69779671457194,2.42125662271154,2.21266038546606,5.73009978297357,1.6094379124341
"1",0,0,0.538,6.495,21,18.4,4.55807857845424,1.69647762235568,2.62466859216316,2.21266038546606,5.73009978297357,1.6094379124341
"0",0,0,0.538,5.95,21,13.2,4.4188406077966,1.60743590976343,3.35724549413297,2.21266038546606,5.73009978297357,1.6094379124341
"0",0,0,0.499,5.85,19.2,21,3.74950407593037,1.59619055234847,2.27931646605469,1.94017947434633,5.63478960316925,1.79175946922805
"0",25,0,0.453,5.741,19.7,18.7,4.2076732475291,2.10722692768777,2.64971462408925,1.81319474994812,5.65248918026865,2.19722457733622
"0",25,0,0.453,5.966,19.7,16,4.54754107315146,2.05649272030143,2.73696154459663,1.81319474994812,5.65248918026865,2.19722457733622
"0",0,0,0.449,6.63,18.5,26.6,4.04480411666196,1.69335617734757,2.0188950418118,1.70292825552144,5.51342874616498,1.38629436111989
"0",0,0,0.449,6.121,18.5,22.2,4.05698877567833,1.55763922720021,2.24495598015741,1.70292825552144,5.51342874616498,1.38629436111989
"0",0,0,0.445,6.163,18,21.4,4.2570301444992,1.50301016081585,2.51284601847724,1.35840915763035,5.62401750618734,1.09861228866811
"0",0,0,0.581,5.856,19.1,17.3,4.58496747867057,1.07990506120241,3.27374272630904,3.28278915061185,5.24174701505964,1.09861228866811
"0",0,0,0.581,5.613,19.1,15.7,4.57057874121847,1.01421567202936,3.34144737725638,3.28278915061185,5.24174701505964,1.09861228866811
"1",0,0,0.624,5.637,21.2,14.3,4.56121829845891,1.09188974290728,2.96217549002515,3.13070013396448,6.08221891037645,1.6094379124341
"1",0,0,0.605,6.101,14.7,25,4.54329478227,1.18887947087828,2.38047163165112,3.0243197304059,6.00141487796115,1.79175946922805
"1",0,0,0.605,5.88,14.7,19.1,4.58802402715312,1.22044636701883,2.56725439113675,3.0243197304059,6.00141487796115,1.79175946922805
"0",0,1,0.489,5.96,18.6,21.7,4.53367418428302,1.58455078092615,2.90526037038992,2.45014265735166,5.62762111369064,1.6094379124341
"0",0,0,0.504,6.552,17.4,31.5,3.10906095886099,1.47592937669121,1.56024766824333,1.97408102602201,5.73009978297357,2.19722457733622
"1",0,0,0.507,8.247,17.4,48.3,4.26829786934554,1.53727573829468,1.5993875765806,1.97408102602201,5.73009978297357,2.19722457733622
"0",22,0,0.431,6.957,19.1,29.6,2.05412373369555,2.29321129591334,1.51072193949494,1.92570744173779,5.80211837537706,2.07944154167984
"0",90,0,0.4,7.088,15.3,32.2,3.08190996979504,2.11713464632546,2.18041745901984,1.3787660946991,5.65599181081985,0.693147180559945
"0",80,0,0.385,6.23,18.2,20.1,3.48124008933569,2.31146554479998,2.63404478779171,1.01523067972906,5.48893772615669,0.693147180559945
"0",33,0,0.472,6.616,18.4,28.4,4.07923092441205,1.4747630091075,2.29556047805708,1.15688119679209,5.40717177146012,2.07944154167984
"0",0,0,0.544,6.122,18.4,22.1,3.98527346716774,1.29206609583492,1.94304891677428,2.3887627892351,5.72031177660741,1.6094379124341
"0",0,0,0.493,6.415,19.6,25,3.71600812150219,1.74416109459526,1.96290772542388,2.12584791449399,5.66296048013595,1.79175946922805
"0",0,0,0.493,6.312,19.6,23,3.39785848039664,1.85877928440784,1.96711235670592,2.12584791449399,5.66296048013595,1.79175946922805
"1",0,0,0.515,5.895,20.2,18.5,4.10429489307527,1.88933979756692,2.44755086324423,1.8229350866965,5.41610040220442,1.79175946922805
"0",80,0,0.435,6.635,17,24.5,3.42426265459315,2.23473442608587,1.94448055624572,1.10194007876078,5.63835466933375,1.6094379124341
"1",0,0,0.718,3.561,20.2,27.5,4.48751214251986,0.960575523984458,2.09433015417359,2.94968833505258,6.50279004591562,3.2188758248682
"1",0,1,0.631,7.016,20.2,50,4.59005654817804,0.78954767484626,1.37624402526639,2.94968833505258,6.50279004591562,3.2188758248682
"1",0,0,0.584,6.348,20.2,14.5,4.46705688385846,1.1160264449219,2.92530980925744,2.94968833505258,6.50279004591562,3.2188758248682
"1",0,0,0.74,5.935,20.2,8.4,4.48751214251986,1.036949628276,3.55591932685771,2.94968833505258,6.50279004591562,3.2188758248682
"1",0,0,0.74,5.627,20.2,12.8,4.55282370561588,1.03574348388912,3.1730412885244,2.94968833505258,6.50279004591562,3.2188758248682
"1",0,0,0.74,5.818,20.2,10.5,4.5368913452348,1.05298711064183,3.14026542428629,2.94968833505258,6.50279004591562,3.2188758248682
"1",0,0,0.74,6.219,20.2,18.4,4.61512051684126,1.10021101003181,2.86733055874947,2.94968833505258,6.50279004591562,3.2188758248682
"1",0,0,0.74,5.854,20.2,10.8,4.58087749341905,1.06319234343685,3.2104403460471,2.94968833505258,6.50279004591562,3.2188758248682
"1",0,0,0.713,6.525,20.2,14.1,4.47163879336357,1.23424979521021,2.95125778345216,2.94968833505258,6.50279004591562,3.2188758248682
